attack,threshold_method,tpr_paper,tpr_rebuilt,dtpr,fpr_paper,fpr_rebuilt,dfpr,fnr_paper,fnr_rebuilt,dfnr,prec_paper,prec_rebuilt,dprec,auc_rebuilt,eer_rebuilt
Video Injection,median+1.5MAD,1.0,0.0,-1.0,0.981,0.0003,-0.9807,0.0,1.0,1.0,0.043,0.0,-0.043,0.4841,0.544
ARP MitM,max+std,1.0,0.0,-1.0,0.851,0.0,-0.851,0.0,1.0,1.0,0.508,0.4211,-0.0869,0.8331,0.3077
ARP MitM,mean,1.0,0.693,-0.307,0.981,0.4802,-0.5008,0.0,0.307,0.307,0.472,0.559,0.087,0.8331,0.3077
ARP MitM,min,1.0,1.0,0.0,1.0,1.0,-0.0,0.0,0.0,0.0,0.468,0.4676,-0.0004,0.8331,0.3077
ARP MitM,max,1.0,0.0,-1.0,0.922,0.0,-0.922,0.0,1.0,1.0,0.488,0.4186,-0.0694,0.8331,0.3077
ARP MitM,mean+3sigma,1.0,0.0,-1.0,0.942,0.0,-0.942,0.0,1.0,1.0,0.482,0.3913,-0.0907,0.8331,0.3077
ARP MitM,median+1.5MAD,1.0,0.0,-1.0,0.969,0.0,-0.969,0.0,1.0,1.0,0.475,0.3944,-0.0806,0.8331,0.3077
SYN DoS,max+std,0.001,0.0007,-0.0003,0.0,0.0,0.0,0.999,0.9993,0.0003,0.013,0.3333,0.3203,0.7078,0.2715
SYN DoS,mean,1.0,0.9753,-0.0247,0.974,0.4922,-0.4818,0.0,0.0247,0.0247,0.003,0.0051,0.0021,0.7078,0.2715
SYN DoS,min,1.0,1.0,0.0,1.0,1.0,-0.0,0.0,0.0,0.0,0.003,0.0026,-0.0004,0.7078,0.2715
SYN DoS,max,0.001,0.0007,-0.0003,0.0,0.0075,0.0075,0.999,0.9993,0.0003,0.012,0.0002,-0.0118,0.7078,0.2715
SYN DoS,mean+3sigma,0.001,0.0007,-0.0003,0.001,0.0,-0.001,0.999,0.9993,0.0003,0.002,0.3333,0.3313,0.7078,0.2715
SYN DoS,median+1.5MAD,1.0,0.0007,-0.9993,0.978,0.0437,-0.9343,0.0,0.9993,0.9993,0.003,0.0,-0.003,0.7078,0.2715
