m,tpr_paper,tpr_rebuilt,fpr_paper,fpr_rebuilt,fnr_paper,fnr_rebuilt,precision_paper,precision_rebuilt
max+std,0.881,0.8526478723516383,0.0,0.0,0.119,0.1473521276483617,1.0,1.0
mean,0.91,0.8865113673835369,0.251,0.2435831907375719,0.09,0.1134886326164631,0.972,0.9817233203162776
min,1.0,0.9999969885731408,1.0,0.9999777772839396,0.0,3.011426859211852e-06,0.906,0.9365450486721107
max,0.881,0.8526538952053567,0.0,0.0,0.119,0.1473461047946432,1.0,1.0
mean+3sigma,0.883,0.8540918515306329,0.006,0.0061556923487188,0.117,0.145908148469367,0.999,0.9995119037340244
median+1.5MAD,0.91,0.8910857247826879,0.246,0.2755839018644859,0.09,0.1089142752173121,0.973,0.9794754751706376
