method,TPR,FPR,Precision,F1,Accuracy,AUC_ROC
Tenko (OR-rule),0.9800733333333334,0.02,0.9959352622772015,0.9879406339147411,0.9800611111111112,0.9896815300555556
Kitsune (med+MAD),0.96368,0.19713333333333333,0.9606954395012827,0.9621854053370431,0.9368777777777778,0.9732510870833333
Mateen (native adaptive preds),0.9048266666666667,0.0488,0.9893285126979036,0.9451926960736521,0.9125555555555556,0.9665049110555557
VAEESDD frozen (train p95),0.8251066666666667,0.01405,0.9966059386009058,0.9027836790517438,0.8519138888888889,0.9539713249166667
Paper1 iForest (z-score on decision_function),0.6114666666666667,0.0514,0.9834659346786473,0.7540840739614079,0.6676555555555556,0.93474922075
