fpr,tpr,threshold
0.624633,0.979380,0.004021
0.632567,0.979960,0.003975
0.640900,0.980520,0.003912
0.649767,0.981100,0.003852
0.657233,0.981720,0.003811
0.664233,0.982260,0.003773
0.670233,0.982980,0.003732
0.675633,0.983640,0.003699
0.681433,0.984220,0.003665
0.695433,0.984800,0.003610
0.699767,0.985340,0.003590
0.709867,0.985880,0.003554
0.718000,0.986460,0.003518
0.726167,0.987000,0.003473
0.739933,0.987520,0.003417
0.752733,0.988040,0.003376
0.762767,0.988600,0.003344
0.773700,0.989220,0.003309
0.784167,0.989800,0.003275
0.798867,0.990300,0.003230
0.811233,0.990980,0.003188
0.819033,0.991660,0.003156
0.828733,0.992220,0.003122
0.836000,0.992760,0.003096
0.842900,0.993260,0.003074
0.853067,0.993800,0.003041
0.866200,0.994380,0.002998
0.880533,0.994880,0.002961
0.891267,0.995420,0.002913
0.904167,0.995980,0.002855
0.913800,0.996500,0.002802
0.923900,0.997100,0.002725
0.937433,0.997640,0.002647
0.956867,0.998180,0.002554
0.972200,0.998700,0.002488
0.986400,0.999220,0.002373
0.995867,0.999760,0.002087
1.000000,1.000000,0.001405
