fpr,tpr,threshold
0.097133,0.946787,0.018012
0.097900,0.946973,0.017933
0.098767,0.947167,0.017843
0.099550,0.947353,0.017743
0.100300,0.947553,0.017652
0.101067,0.947787,0.017545
0.101783,0.947963,0.017451
0.102583,0.948127,0.017372
0.103317,0.948360,0.017260
0.103867,0.948570,0.017176
0.104517,0.948803,0.017073
0.105100,0.949017,0.016972
0.105817,0.949167,0.016888
0.106533,0.949363,0.016798
0.107317,0.949533,0.016711
0.108133,0.949737,0.016608
0.109050,0.949923,0.016536
0.109900,0.950107,0.016424
0.110683,0.950273,0.016326
0.111467,0.950453,0.016219
0.112083,0.950657,0.016123
0.112733,0.950903,0.016015
0.113517,0.951120,0.015915
0.114250,0.951300,0.015831
0.115067,0.951530,0.015704
0.115983,0.951730,0.015605
0.116750,0.951910,0.015532
0.117650,0.952033,0.015458
0.118550,0.952217,0.015373
0.119483,0.952360,0.015285
0.120317,0.952540,0.015202
0.121383,0.952713,0.015107
0.122200,0.952873,0.015032
0.122967,0.953070,0.014951
0.123800,0.953213,0.014890
0.124617,0.953377,0.014836
0.125367,0.953560,0.014785
0.126167,0.953733,0.014719
0.127150,0.953910,0.014651
0.127900,0.954060,0.014598
0.128750,0.954210,0.014540
0.129533,0.954353,0.014481
0.130383,0.954530,0.014418
0.131117,0.954680,0.014349
0.131917,0.954823,0.014287
0.132967,0.954950,0.014230
0.133933,0.955100,0.014164
0.134950,0.955223,0.014099
0.135717,0.955350,0.014053
0.136983,0.955513,0.013967
0.137850,0.955647,0.013903
0.139083,0.955767,0.013826
0.140117,0.955900,0.013742
0.140950,0.956057,0.013676
0.142050,0.956187,0.013595
0.143250,0.956340,0.013510
0.144600,0.956477,0.013433
0.145467,0.956590,0.013377
0.146383,0.956700,0.013322
0.147300,0.956817,0.013250
0.148683,0.956943,0.013174
0.149817,0.957077,0.013106
0.150717,0.957197,0.013043
0.151783,0.957337,0.012958
0.152783,0.957463,0.012884
0.153717,0.957590,0.012824
0.154833,0.957727,0.012761
0.156067,0.957857,0.012681
0.157100,0.957997,0.012600
0.158117,0.958160,0.012539
0.159217,0.958293,0.012471
0.160683,0.958467,0.012384
0.161717,0.958620,0.012319
0.162883,0.958770,0.012239
0.164083,0.958903,0.012151
0.165083,0.959013,0.012088
0.165883,0.959190,0.012020
0.166733,0.959367,0.011958
0.167933,0.959497,0.011887
0.169050,0.959650,0.011821
0.170100,0.959817,0.011751
0.171200,0.959967,0.011683
0.172250,0.960117,0.011597
0.173300,0.960230,0.011536
0.174583,0.960333,0.011465
0.175883,0.960487,0.011390
0.176700,0.960637,0.011338
0.177600,0.960840,0.011282
0.178500,0.961023,0.011222
0.179717,0.961153,0.011150
0.180550,0.961257,0.011093
0.181717,0.961380,0.011020
0.182650,0.961503,0.010964
0.183917,0.961637,0.010890
0.185133,0.961767,0.010810
0.186350,0.961890,0.010741
0.187200,0.962027,0.010674
0.188083,0.962180,0.010606
0.189150,0.962290,0.010539
0.190067,0.962443,0.010465
0.190983,0.962600,0.010404
0.191983,0.962777,0.010327
0.192717,0.962950,0.010270
0.193500,0.963077,0.010219
0.194700,0.963220,0.010147
0.195517,0.963390,0.010085
0.196333,0.963557,0.010028
0.197217,0.963693,0.009966
0.198267,0.963830,0.009891
0.199083,0.963987,0.009824
0.201317,0.964087,0.009781
0.204383,0.964187,0.009744
0.206217,0.964307,0.009676
0.210250,0.964403,0.009622
0.214083,0.964517,0.009556
0.215300,0.964677,0.009476
0.216550,0.964813,0.009409
0.217450,0.964923,0.009364
