fpr,tpr,threshold
0.108933,0.984190,2.796821
0.109883,0.984333,2.767314
0.110800,0.984493,2.738788
0.111867,0.984670,2.707265
0.112800,0.984780,2.680075
0.114333,0.984917,2.650085
0.115067,0.985097,2.620551
0.116017,0.985267,2.593755
0.117133,0.985440,2.572195
0.118133,0.985580,2.547837
0.118917,0.985773,2.523373
0.120283,0.985907,2.498735
0.121733,0.986063,2.474315
0.122567,0.986190,2.454177
0.123417,0.986317,2.430402
0.124367,0.986480,2.402182
0.125983,0.986577,2.382323
0.127450,0.986710,2.361486
0.128717,0.986830,2.335514
0.129950,0.986953,2.315659
0.131333,0.987097,2.287113
0.133150,0.987237,2.260871
0.134567,0.987340,2.239424
0.136617,0.987437,2.214588
0.138533,0.987540,2.188123
0.139983,0.987647,2.165887
0.141700,0.987750,2.143787
0.143567,0.987863,2.125580
0.146733,0.987963,2.097800
0.149083,0.988053,2.076553
0.151900,0.988160,2.052847
0.154550,0.988277,2.030262
0.156433,0.988370,2.014991
0.159900,0.988470,1.989940
0.161450,0.988563,1.978645
0.163400,0.988653,1.964043
0.165450,0.988747,1.953009
0.167100,0.988840,1.941049
0.168733,0.988963,1.927191
0.170550,0.989063,1.910186
0.172283,0.989167,1.894513
0.173733,0.989257,1.876815
0.174900,0.989370,1.861946
0.176483,0.989470,1.841721
0.177600,0.989610,1.824319
0.179383,0.989727,1.801100
0.181100,0.989833,1.774346
0.183017,0.989940,1.749103
0.184683,0.990043,1.731663
0.186267,0.990143,1.707467
0.188000,0.990240,1.683067
0.189450,0.990363,1.660376
0.191233,0.990463,1.633988
0.193067,0.990563,1.610540
0.195167,0.990657,1.584741
0.197117,0.990753,1.561819
0.198667,0.990860,1.546638
0.200367,0.990973,1.529006
0.203333,0.991080,1.505080
0.205333,0.991187,1.486175
0.207417,0.991300,1.465363
0.209733,0.991393,1.449203
0.212050,0.991487,1.436579
0.215100,0.991577,1.424723
0.219383,0.991680,1.405710
0.224017,0.991763,1.388574
0.229467,0.991850,1.371348
0.239600,0.991937,1.344663
0.247767,0.992023,1.327060
0.255050,0.992117,1.312449
0.265933,0.992203,1.293150
0.272250,0.992290,1.283832
0.280400,0.992377,1.272477
0.291500,0.992460,1.254123
0.299850,0.992547,1.239660
0.307333,0.992637,1.229042
0.315733,0.992733,1.217407
0.324133,0.992830,1.208412
0.334067,0.992913,1.197844
0.343217,0.993000,1.188878
0.356217,0.993087,1.178251
0.370867,0.993180,1.169188
0.410433,0.993263,1.155858
0.433650,0.993347,1.144502
0.440617,0.993433,1.134063
0.447000,0.993523,1.121795
0.453217,0.993610,1.109773
0.458317,0.993697,1.098677
0.466883,0.993780,1.082644
0.472467,0.993870,1.072898
0.479283,0.993953,1.061652
0.494383,0.994040,1.039164
0.504667,0.994130,1.025528
0.513367,0.994217,1.016362
0.523533,0.994310,1.002375
0.530367,0.994397,0.988678
0.540067,0.994487,0.966587
0.547517,0.994580,0.948182
0.553733,0.994663,0.930931
0.560417,0.994757,0.913241
0.567400,0.994847,0.898179
0.589133,0.994937,0.867456
0.610267,0.995020,0.848740
0.642183,0.995103,0.820697
0.680650,0.995187,0.796080
0.712933,0.995273,0.778442
0.732900,0.995360,0.758986
0.738900,0.995443,0.750169
0.744033,0.995540,0.741332
0.750833,0.995630,0.723520
0.757533,0.995727,0.702037
0.763717,0.995823,0.677844
0.768300,0.995923,0.662298
0.771250,0.996030,0.652119
0.772933,0.996193,0.643911
0.774267,0.996317,0.639237
0.776367,0.996423,0.631052
0.780033,0.996523,0.608393
0.782167,0.996633,0.587675
0.784733,0.996723,0.570887
0.787683,0.996823,0.549085
0.788533,0.996987,0.541731
0.790183,0.997093,0.526081
0.792367,0.997210,0.499389
0.796183,0.997303,0.470015
0.798533,0.997393,0.452671
0.801300,0.997493,0.433643
0.804900,0.997597,0.413116
0.807533,0.997683,0.399847
0.810767,0.997777,0.384483
0.816250,0.997870,0.360759
0.823567,0.997953,0.341142
0.831700,0.998040,0.314492
0.836617,0.998127,0.288943
0.840283,0.998217,0.273399
