attack,tenko_op_TPR,tenko_op_FPR,tenko_op_Precision,tenko_op_F1,tenko_op_degenerate,tenko_AUC_patterndist,tenko_EER_patterndist,tenko_AUC_nodescore,tenko_EER_nodescore,tenko_AUC_discreteflag,tenko_EER_discreteflag,kitsune_AUC,kitsune_EER
DDoS-UDP_Flood,0.000000,0.000000,nan,0.000000,1,0.928822,0.129363,0.938652,0.125737,0.500000,0.500000,0.965073,0.123863
DoS-SYN_Flood,0.000000,0.000000,nan,0.000000,1,0.987792,0.051803,0.987889,0.053847,0.500000,0.500000,0.992747,0.036643
Recon-OSScan,0.000000,0.000000,nan,0.000000,1,0.795871,0.255887,0.799505,0.257363,0.500000,0.500000,0.827176,0.216383
MITM-ArpSpoofing,0.000000,0.000000,nan,0.000000,1,0.949187,0.130690,0.933290,0.125373,0.500000,0.500000,0.942003,0.147373
Mirai-greeth_flood,0.000000,0.000000,nan,0.000000,1,0.936728,0.139573,0.925254,0.136573,0.500000,0.500000,0.929418,0.153343
DictionaryBruteForce,0.000000,0.000000,nan,0.000000,1,0.696816,0.284700,0.681444,0.343273,0.500000,0.500000,0.703386,0.318927
