attack,double_pattern_AUC,double_pattern_EER,double_committedEta_TPR,double_committedEta_FPR,double_committedEta_degenerate,single_pattern_AUC,single_pattern_EER,single_committedEta_TPR,single_committedEta_FPR,single_committedEta_degenerate,kitsune_AUC,kitsune_EER
DDoS-UDP_Flood,0.928821832,0.12936333333333333,0.0,0.0,1,0.930947868,0.12924666666666668,0.05964,0.0,0,0.965072678,0.12386333333333333
DoS-SYN_Flood,0.9877920993333332,0.05180333333333334,0.0,0.0,1,0.9883920246666668,0.05063333333333332,0.71518,0.0,0,0.9927466776666667,0.036643333333333326
Recon-OSScan,0.7958711166666667,0.25588666666666665,0.0,0.0,1,0.796218922,0.25386333333333333,0.0,0.0,1,0.8271755476666667,0.21638333333333337
MITM-ArpSpoofing,0.9491870526666667,0.13069000000000003,0.0,0.0,1,0.9511409580000001,0.13433666666666666,0.00084,0.0,0,0.9420033476666666,0.1473733333333333
Mirai-greeth_flood,0.9367282619999998,0.13957333333333335,0.0,0.0,1,0.9369962113333334,0.14332,0.0,0.0,1,0.929418133,0.15334333333333333
DictionaryBruteForce,0.6968163060000001,0.28469999999999995,0.0,0.0,1,0.7077268486666667,0.28203333333333336,0.01494,0.0,0,0.7033857173333333,0.3189266666666667
