device_id,device_name,attack,tpr_rebuilt,tpr_orig,fpr_rebuilt,fpr_orig,auc_rebuilt,auc_orig,eer_rebuilt,eer_orig
1,Danmini_Doorbell,mirai.scan,1.0,1.0,0.0137235116044399,0.0230070635721493,0.9999994115212612,0.999999225981786,0.0001566262401451,0.0001566262401451
1,Danmini_Doorbell,mirai.ack,1.0,1.0,0.0137235116044399,0.0230070635721493,1.0,1.0,0.0,0.0
1,Danmini_Doorbell,mirai.syn,1.0,1.0,0.0137235116044399,0.0230070635721493,0.999999823824585,0.9999998287640828,2.447521069077203e-05,2.039600890897669e-05
1,Danmini_Doorbell,mirai.udp,1.0,1.0,0.0137235116044399,0.0230070635721493,0.9999997715751272,0.9999997206253416,2.314181726379568e-05,2.314181726379568e-05
1,Danmini_Doorbell,mirai.udpplain,1.0,1.0,0.0137235116044399,0.0230070635721493,1.0,1.0,0.0,0.0
1,Danmini_Doorbell,gafgyt.combo,1.0,0.9999832546300949,0.0137235116044399,0.0230070635721493,0.9999993849329318,0.9999988205582044,5.023610971566362e-05,5.023610971566362e-05
1,Danmini_Doorbell,gafgyt.junk,1.0,0.9999655979083528,0.0137235116044399,0.0230070635721493,0.9999985072755392,0.9999975491547222,0.0003566257595363,0.0002385165401507
1,Danmini_Doorbell,gafgyt.scan,1.0,0.9999664980401354,0.0137235116044399,0.0230070635721493,0.9999986409901246,0.9999971873228448,0.000201414053156,0.000201414053156
1,Danmini_Doorbell,gafgyt.tcp,1.0,0.9999891470680804,0.0137235116044399,0.0230070635721493,0.9931442521881444,0.9937490704233828,0.0068604043876903,0.0062537977732565
1,Danmini_Doorbell,gafgyt.udp,1.0,0.99998110962087,0.0137235116044399,0.0230070635721493,0.9931423253583972,0.9937481480137262,0.0068594817131884,0.0062545111264237
2,Ecobee_Thermostat,mirai.scan,1.0,0.9994674939803668,0.0160060975609756,0.0068597560975609,0.9999999823533264,0.9996390372934916,1.1576217818114466e-05,0.0006589267886103
2,Ecobee_Thermostat,mirai.ack,1.0,1.0,0.0160060975609756,0.0068597560975609,1.0,1.0,0.0,0.0
2,Ecobee_Thermostat,mirai.syn,1.0,0.9999571943462292,0.0160060975609756,0.0068597560975609,0.9999999869494958,0.9999906427884896,8.561130754150008e-06,2.5683392262450025e-05
2,Ecobee_Thermostat,mirai.udp,1.0,0.9999471880961968,0.0160060975609756,0.0068597560975609,1.0,0.9999612716059858,0.0,2.970669588925344e-05
2,Ecobee_Thermostat,mirai.udpplain,1.0,0.9999885541617068,0.0160060975609756,0.0068597560975609,0.9999999825520758,0.9999885803335932,1.1445838293196594e-05,5.722919146598297e-06
2,Ecobee_Thermostat,gafgyt.combo,1.0,0.9998868180789257,0.0160060975609756,0.0068597560975609,0.999999913733292,0.9999298939218548,9.431826756206144e-06,5.659096053723685e-05
2,Ecobee_Thermostat,gafgyt.junk,1.0,0.9997690683557668,0.0160060975609756,0.0068597560975609,0.9999998491300234,0.9998766889390984,1.649511744523621e-05,0.0001484560570071
2,Ecobee_Thermostat,gafgyt.scan,1.0,0.9997453989961446,0.0160060975609756,0.0068597560975609,0.9999993346663664,0.9997924990729684,3.637157197934095e-05,0.0001273005019276
2,Ecobee_Thermostat,gafgyt.tcp,1.0,0.0004946275033939,0.0160060975609756,0.0068597560975609,0.9999988369066556,0.0030230801355592,9.471590490523148e-05,0.9977148544634934
2,Ecobee_Thermostat,gafgyt.udp,0.999980914391503,0.0005248542336651,0.0160060975609756,0.0068597560975609,0.999997563384586,0.0030354591112949,0.0005814964501931,0.9977115708072584
3,Ennio_Doorbell,gafgyt.combo,0.9998113705813558,0.9998302335232204,0.0317135549872122,0.0250639386189258,0.999991113672912,0.999993959999178,0.0002316234181059,0.0002316234181059
3,Ennio_Doorbell,gafgyt.junk,0.9997315165956304,0.9997650770211768,0.0317135549872122,0.0250639386189258,0.9999872281551886,0.999991004775966,0.0002788991528095,0.0002788991528095
3,Ennio_Doorbell,gafgyt.scan,0.9996443812233284,0.9994310099573256,0.0317135549872122,0.0250639386189258,0.9999753431584768,0.999979081248431,0.0007214695513928,0.0007214695513928
3,Ennio_Doorbell,gafgyt.tcp,0.0008568389536716,0.0008371415064607,0.0317135549872122,0.0250639386189258,0.9396941016674418,0.955790812707604,0.0603604416218041,0.0442479197279152
3,Ennio_Doorbell,gafgyt.udp,0.0006831324026055,0.0005099439061703,0.0317135549872122,0.0250639386189258,0.9396833411491264,0.95577735095571,0.0603571236368265,0.0442475925679348
4,Philips_B120N10_Baby_Monitor,mirai.scan,0.9999420966792446,0.9999420966792446,0.029673590504451,0.0382332800730426,0.9999896985132956,0.999997649591294,5.7483958939694813e-05,5.7483958939694813e-05
4,Philips_B120N10_Baby_Monitor,mirai.ack,1.0,1.0,0.029673590504451,0.0382332800730426,0.9999969708914732,0.999999078805325,0.0001229096636823,0.0001119354859226
